age,qx,lx,dx,Lx,Tx,ex,sex,year
32.0,0.00432,74147.0,321.0,73987.0,3273955.0,44.15,F,1900
33.0,0.00426,73827.0,315.0,73670.0,3199967.0,43.34,F,1900
34.0,0.00437,73512.0,321.0,73352.0,3126298.0,42.53,F,1900
35.0,0.00458,73192.0,335.0,73024.0,3052946.0,41.71,F,1900
36.0,0.00494,72856.0,360.0,72677.0,2979922.0,40.9,F,1900
37.0,0.00482,72497.0,350.0,72322.0,2907245.0,40.1,F,1900
38.0,0.00451,72147.0,325.0,71985.0,2834923.0,39.29,F,1900
39.0,0.00448,71822.0,322.0,71661.0,2762939.0,38.47,F,1900
40.0,0.0046,71500.0,329.0,71336.0,2691278.0,37.64,F,1900
41.0,0.00469,71171.0,334.0,71004.0,2619942.0,36.81,F,1900
42.0,0.00476,70838.0,337.0,70669.0,2548937.0,35.98,F,1900
43.0,0.00503,70500.0,355.0,70323.0,2478269.0,35.15,F,1900
44.0,0.00505,70146.0,354.0,69968.0,2407946.0,34.33,F,1900
45.0,0.00526,69791.0,367.0,69608.0,2337978.0,33.5,F,1900
46.0,0.00539,69424.0,374.0,69237.0,2268370.0,32.67,F,1900
47.0,0.00575,69050.0,397.0,68852.0,2199133.0,31.85,F,1900
48.0,0.00592,68653.0,406.0,68450.0,2130281.0,31.03,F,1900
49.0,0.00628,68247.0,429.0,68033.0,2061831.0,30.21,F,1900
50.0,0.00656,67818.0,445.0,67596.0,1993798.0,29.4,F,1900
51.0,0.00727,67373.0,490.0,67128.0,1926202.0,28.59,F,1900
52.0,0.00765,66883.0,511.0,66627.0,1859074.0,27.8,F,1900
53.0,0.00805,66372.0,534.0,66105.0,1792447.0,27.01,F,1900
54.0,0.00807,65837.0,531.0,65572.0,1726342.0,26.22,F,1900
55.0,0.00837,65306.0,547.0,65033.0,1660770.0,25.43,F,1900
56.0,0.00914,64760.0,592.0,64464.0,1595737.0,24.64,F,1900
57.0,0.0099,64168.0,635.0,63850.0,1531273.0,23.86,F,1900
58.0,0.01038,63533.0,660.0,63203.0,1467423.0,23.1,F,1900
59.0,0.01108,62873.0,696.0,62525.0,1404220.0,22.33,F,1900
60.0,0.01237,62177.0,769.0,61792.0,1341695.0,21.58,F,1900
61.0,0.01331,61408.0,817.0,60999.0,1279903.0,20.84,F,1900
62.0,0.01474,60590.0,893.0,60144.0,1218904.0,20.12,F,1900
63.0,0.01606,59697.0,959.0,59217.0,1158761.0,19.41,F,1900
64.0,0.01674,58738.0,983.0,58247.0,1099543.0,18.72,F,1900
65.0,0.01794,57755.0,1036.0,57237.0,1041297.0,18.03,F,1900
66.0,0.01949,56719.0,1105.0,56167.0,984060.0,17.35,F,1900
67.0,0.02081,55614.0,1157.0,55035.0,927893.0,16.68,F,1900
68.0,0.02165,54457.0,1179.0,53867.0,872858.0,16.03,F,1900
69.0,0.02296,53278.0,1223.0,52666.0,818991.0,15.37,F,1900
70.0,0.02513,52054.0,1308.0,51400.0,766325.0,14.72,F,1900
71.0,0.02737,50747.0,1389.0,50052.0,714924.0,14.09,F,1900
72.0,0.03027,49358.0,1494.0,48611.0,664872.0,13.47,F,1900
73.0,0.03229,47864.0,1546.0,47091.0,616261.0,12.88,F,1900
74.0,0.03419,46318.0,1583.0,45526.0,569170.0,12.29,F,1900
75.0,0.03628,44735.0,1623.0,43923.0,523644.0,11.71,F,1900
76.0,0.03935,43112.0,1697.0,42263.0,479721.0,11.13,F,1900
77.0,0.04218,41415.0,1747.0,40542.0,437457.0,10.56,F,1900
78.0,0.04627,39668.0,1836.0,38750.0,396916.0,10.01,F,1900
79.0,0.04954,37833.0,1874.0,36895.0,358165.0,9.47,F,1900
80.0,0.0562,35958.0,2021.0,34948.0,321270.0,8.93,F,1900
81.0,0.06011,33938.0,2040.0,32918.0,286322.0,8.44,F,1900
82.0,0.06453,31898.0,2058.0,30869.0,253404.0,7.94,F,1900
83.0,0.07291,29839.0,2175.0,28752.0,222536.0,7.46,F,1900
84.0,0.07979,27664.0,2207.0,26560.0,193784.0,7.0,F,1900
85.0,0.08888,25457.0,2263.0,24325.0,167224.0,6.57,F,1900
86.0,0.0966,23194.0,2241.0,22074.0,142899.0,6.16,F,1900
87.0,0.10639,20953.0,2229.0,19839.0,120825.0,5.77,F,1900
88.0,0.11968,18724.0,2241.0,17604.0,100986.0,5.39,F,1900
89.0,0.1269,16483.0,2092.0,15437.0,83383.0,5.06,F,1900
90.0,0.13718,14392.0,1974.0,13404.0,67945.0,4.72,F,1900
91.0,0.14864,12417.0,1846.0,11495.0,54541.0,4.39,F,1900
92.0,0.16007,10572.0,1692.0,9726.0,43046.0,4.07,F,1900
93.0,0.18423,8879.0,1636.0,8062.0,33321.0,3.75,F,1900
94.0,0.20021,7244.0,1450.0,6519.0,25259.0,3.49,F,1900
95.0,0.22006,5793.0,1275.0,5156.0,18741.0,3.23,F,1900
96.0,0.23851,4518.0,1078.0,3980.0,13585.0,3.01,F,1900
97.0,0.25991,3441.0,894.0,2994.0,9605.0,2.79,F,1900
98.0,0.27881,2546.0,710.0,2191.0,6611.0,2.6,F,1900
99.0,0.30675,1837.0,563.0,1555.0,4420.0,2.41,F,1900
100.0,0.32915,1273.0,419.0,1064.0,2865.0,2.25,F,1900
101.0,0.34475,854.0,294.0,707.0,1802.0,2.11,F,1900
102.0,0.3726,560.0,209.0,455.0,1095.0,1.96,F,1900
103.0,0.39781,351.0,140.0,281.0,639.0,1.82,F,1900
104.0,0.42451,211.0,90.0,167.0,358.0,1.69,F,1900
105.0,0.45317,122.0,55.0,94.0,191.0,1.57,F,1900
106.0,0.48253,67.0,32.0,50.0,97.0,1.46,F,1900
107.0,0.5127,34.0,18.0,26.0,47.0,1.36,F,1900
108.0,0.54382,17.0,9.0,12.0,21.0,1.26,F,1900
109.0,0.57602,8.0,4.0,5.0,9.0,1.17,F,1900
110.0,0.60944,3.0,2.0,2.0,4.0,1.09,F,1900
111.0,0.64414,1.0,1.0,1.0,1.0,1.01,F,1900
112.0,0.68038,0.0,0.0,0.0,0.0,0.94,F,1900
113.0,0.71823,0.0,0.0,0.0,0.0,0.87,F,1900
114.0,0.75783,0.0,0.0,0.0,0.0,0.8,F,1900
